#Accession	ID	Type	Description	Class	subclass
RF04177	BTnc201	Gene;sRNA	Bacteroides sRNA BTnc201	sRNA	sRNA
RF04178	BTnc005	Gene;sRNA	Bacteroides sRNA BTnc005	sRNA	sRNA
RF04179	BTnc049	Gene;sRNA	Bacteroides sRNA BTnc049	sRNA	sRNA
RF04180	BTnc231	Gene;sRNA	Bacteroides sRNA BTnc231	sRNA	sRNA
RF04181	rteR	Gene;sRNA	rteR sRNA	sRNA	sRNA
RF04182	GibS	Gene;sRNA	GibS sRNA	sRNA	sRNA
RF04184	BTnc060	Gene;sRNA	Bacteroides sRNA BTnc060	sRNA	sRNA
RF04185	MIR2118_2	Gene;miRNA	MIR2118_2 microRNA precursor family	miRNA	miRNA
RF04186	mir-278_2	Gene;miRNA	mir-278_2 microRNA precursor family	miRNA	miRNA
RF04187	MIR862	Gene;miRNA	MIR862 microRNA precursor family	miRNA	miRNA
RF04193	mir-51	Gene;miRNA	mir-51 microRNA precursor family	miRNA	miRNA
RF04194	mir-57	Gene;miRNA	mir-57 microRNA precursor family	miRNA	miRNA
RF04195	MIR6217	Gene;miRNA	MIR6217 microRNA precursor family	miRNA	miRNA
RF04196	MIR5638	Gene;miRNA	MIR5638 microRNA precursor family	miRNA	miRNA
RF04197	mir-9457	Gene;miRNA	mir-9457 microRNA precursor family	miRNA	miRNA
RF04198	MIR8670	Gene;miRNA	MIR8670 microRNA precursor family	miRNA	miRNA
RF04199	MIR6027	Gene;miRNA	MIR6027 microRNA precursor family	miRNA	miRNA
RF04200	mir-9437	Gene;miRNA	mir-9437 microRNA precursor family	miRNA	miRNA
RF04201	MIR7510	Gene;miRNA	MIR7510 microRNA precursor family	miRNA	miRNA
RF04202	MIR5380	Gene;miRNA	MIR5380 microRNA precursor family	miRNA	miRNA
RF04203	MIR1144	Gene;miRNA	MIR1144 microRNA precursor family	miRNA	miRNA
RF04204	mir-3473	Gene;miRNA	mir-3473 microRNA precursor family	miRNA	miRNA
RF04205	MIR2606	Gene;miRNA	MIR2606 microRNA precursor family	miRNA	miRNA
RF04206	MIR9555	Gene;miRNA	MIR9555 microRNA precursor family	miRNA	miRNA
RF04207	MIR5048	Gene;miRNA	MIR5048 microRNA precursor family	miRNA	miRNA
RF04208	MIR8742	Gene;miRNA	MIR8742 microRNA precursor family	miRNA	miRNA
RF04209	MIR7533	Gene;miRNA	MIR7533 microRNA precursor family	miRNA	miRNA
RF04210	MIR8643	Gene;miRNA	MIR8643 microRNA precursor family	miRNA	miRNA
RF04211	MIR5185	Gene;miRNA	MIR5185 microRNA precursor family	miRNA	miRNA
RF04212	mir-8904	Gene;miRNA	mir-8904 microRNA precursor family	miRNA	miRNA
RF04213	MIR7807	Gene;miRNA	MIR7807 microRNA precursor family	miRNA	miRNA
RF04214	MIR7526	Gene;miRNA	MIR7526 microRNA precursor family	miRNA	miRNA
RF04215	mir-9214	Gene;miRNA	mir-9214 microRNA precursor family	miRNA	miRNA
RF04216	mir-509	Gene;miRNA	mir-509 microRNA precursor family	miRNA	miRNA
RF04217	mir-297	Gene;miRNA	mir-297 microRNA precursor family	miRNA	miRNA
RF04223	MIR2619	Gene;miRNA	MIR2619 microRNA precursor family	miRNA	miRNA
RF04224	mir-9229	Gene;miRNA	mir-9229 microRNA precursor family	miRNA	miRNA
RF04225	MIR7502	Gene;miRNA	MIR7502 microRNA precursor family	miRNA	miRNA
RF04226	mir-9186	Gene;miRNA	mir-9186 microRNA precursor family	miRNA	miRNA
RF04227	mir-9215	Gene;miRNA	mir-9215 microRNA precursor family	miRNA	miRNA
RF04228	MIR6140	Gene;miRNA	MIR6140 microRNA precursor family	miRNA	miRNA
RF04229	mir-9279	Gene;miRNA	mir-9279 microRNA precursor family	miRNA	miRNA
